courseType,courseName,subject,academyName,city,startDate,endDate,eduCost,regDeadline,courseLanguages,levelGerman,levelEnglish,courseBeginning,typeCourseDate,costPosition,tuitionFees,isElearning,preparationForDegree,prepForSubjectGroups,applicationDeadline,onlinePossible,badgeLabel,financialSupport,structuredResearch,supportInternationalStudents,typeOfElearning,courseLink
5,International Summer Course for German Language and Culture,German Language Course (including Literature and Culture Studies),University of Münster,Münster,['2024-08-05'],['2024-08-28'],[560],['2024-06-14'],['German'],"['A2', 'B1', 'B2', 'C1']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/4894/
5,International Summer Course: German for Economists,Business and Economics,University of Münster,Münster,['2024-08-05'],['2024-08-28'],[690],['2024-06-14'],['German'],"['B2', 'C1']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/5037/
5,International Summer Course: German for Medicine,Medicine in general,University of Münster,Münster,['2024-08-05'],['2024-08-28'],[690],['2024-06-14'],['German'],"['B2', 'C1']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/5034/
5,International Summer Course: German Language for Lawyers,Law,University of Münster,Münster,['2024-08-05'],['2024-08-28'],[690],['2024-06-14'],['German'],"['B2', 'C1']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/4963/
5,International Summer School,German Language Course (including Literature and Culture Studies),Hamburg University of Technology,Hamburg,"['2024-07-03', '2024-08-05']","['2024-07-30', '2024-08-30']","[850, 850]","['Not Available', 'Not Available']",['German'],"['A2', 'B1', 'B2', 'C1']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/5036/
5,International Summer School for German Language and Culture,German Language Course (including Literature and Culture Studies),Technische Universität Braunschweig,Braunschweig,"['2024-03-04', '2024-06-17', '2024-09-02']","['2024-03-22', '2024-07-26', '2024-09-27']","[500, 1335, 890]","['2023-12-01', '2024-04-01', '2024-07-15']",['German'],"['A1', 'A2', 'B1', 'B2', 'C1']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/8394/
56,"International Summer School for German Language, Culture and Language Teaching",German Language Course (including Literature and Culture Studies),Friedrich Schiller University Jena,Jena,['2024-08-05'],['2024-08-30'],[690],['2024-07-01'],['German'],"['A2', 'B1', 'B2', 'C1', 'C2']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/7726/
56,International Summer School for Teacher Education 2024,Education,Technische Universität Braunschweig,Braunschweig,['2024-06-17'],['2024-07-26'],[1335],['Not Available'],"['English', 'German']","['A1', 'A2', 'B1']","['B2', 'C1']",,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/8405/
56,International Summer School ISU: Environmental Engineering,Engineering in general,University of Kassel,Kassel,['2024-06-22'],['2024-07-20'],[2390],['Not Available'],"['English', 'German']","['A1', 'A2', 'B1', 'B2', 'C1', 'C2']","['B2', 'C1', 'C2']",,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/5491/
5,International Summer School of German Language and Culture,German Language Course (including Literature and Culture Studies),Heidelberg University,Heidelberg,['2024-08-01'],['2024-08-28'],[820],['Not Available'],['German'],"['A1', 'A2', 'B1', 'B2', 'C1', 'C2']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/4891/
6,International Summer School on Fluidic MEMS 2024,Engineering in general,Jade University of Applied Sciences Wilhelmshaven/Oldenburg/Elsfleth,Wilhelmshaven,['2024-08-26'],['2024-09-13'],['Not Available'],['2024-05-15'],['English'],,['B2'],,The date of the course has been set,Price only on request,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/5084/
56,International Summer University ISU Kassel: Brothers Grimm - Fairy Tales in Context,Languages and Cultural Studies in general,University of Kassel,Kassel,['2024-06-22'],['2024-07-20'],[2390],['Not Available'],"['English', 'German']","['A1', 'A2', 'B1', 'B2', 'C1', 'C2']","['B2', 'C1', 'C2']",,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/7620/
56,"International Summer University ISU Kassel: Engineering Science of Wind Energy Systems – Fundamentals, Technology and Practical Investigations",Engineering in general,University of Kassel,Kassel,['2024-06-22'],['2024-07-20'],[2390],['Not Available'],"['English', 'German']","['A1', 'A2', 'B1', 'B2', 'C1', 'C2']","['B2', 'C1', 'C2']",,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/5492/
56,International Summer University ISU Kassel: German History and Politics,History,University of Kassel,Kassel,['2024-06-22'],['2024-07-20'],[2390],['Not Available'],"['English', 'German']","['A1', 'A2', 'B1', 'B2', 'C1', 'C2']","['B2', 'C1', 'C2']",,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/7621/
56,International Summer University ISU Kassel: Intercultural Communication,Languages and Cultural Studies in general,University of Kassel,Kassel,['2024-06-22'],['2024-07-20'],[2390],['Not Available'],"['English', 'German']","['A1', 'A2', 'B1', 'B2', 'C1', 'C2']","['B2', 'C1', 'C2']",,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/7622/
1,"International Taxation and Law, BA",Business and Economics,Rhine-Waal University of Applied Sciences,Kleve,[],[],[],[],['English'],,,Winter semester,,,none,False,,,<p>All applicants: 15 July for the following winter semester</p>,False,,,,['Welcome event | Buddy programme | Tutors | Specialist counselling'],[],/deutschland/studienangebote/international-programmes/en/detail/4217/
2,International Technical and Vocational Education and Training (ITVET),Education,Otto von Guericke University Magdeburg,Magdeburg,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,"2,000",False,,,"<p>Winter semester:<br />
15 September (German applicants)<br />
15 April to 15 July (international applicants)</p>

<p>Summer semester:<br />
15 March (German applicants)<br />
15 October to 15 January (international applicants)</p>",True,Hybrid,,,['Accompanying programme'],['9'],/deutschland/studienangebote/international-programmes/en/detail/4488/
2,International Technology Transfer Management (ITTM),Industrial Engineering,bbw Hochschule - University of Applied Sciences,Berlin,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,"4,110",False,,,"<p>For applicants from non-EU countries:</p>

<ul>
	<li>15 February for the summer semester</li>
	<li>15 August for the winter semester</li>
</ul>",True,Partly online,,,['Welcome event | Specialist counselling | Cultural and linguistic preparation | Visa matters'],"['10', '9', '11']",/deutschland/studienangebote/international-programmes/en/detail/7777/
6,International Textile Online Week,Engineering in general,Hof University of Applied Sciences,Münchberg,['2024-07-15'],['2024-07-19'],[0],['2024-06-01'],['English'],,['B2'],,The date of the course has been set,,,False,,,,True,Fully online,,,,['9'],/deutschland/studienangebote/international-programmes/en/detail/6902/
2,International Tourism & Event Management (MA),Business and Economics,Hochschule Fresenius - University of Applied Sciences,Hamburg,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,"5,280",False,,,"<p>31 July for the following winter semester<br />
31 January for the following summer semester</p>",False,,,,['Welcome event | Buddy programme'],[],/deutschland/studienangebote/international-programmes/en/detail/5701/
1,International Tourism Management,Business and Economics,Jade University of Applied Sciences Wilhelmshaven/Oldenburg/Elsfleth,Wilhelmshaven,[],[],[],[],"['German', 'English', 'French', 'Spanish']",,,Winter semester,,,none,False,,,<p>The application deadline is 15 September of each year for the semester starting around 20 September.</p>,False,,,,['Tutors | Specialist counselling | Cultural and linguistic preparation'],[],/deutschland/studienangebote/international-programmes/en/detail/8267/
1,International Tourism Management,Business and Economics,htw saar - University of Applied Sciences,Saarbrücken,[],[],[],[],"['German', 'English', 'French']",,,Winter semester,,,none,False,,,"<p>31 May</p>

<p><strong>Please note:&nbsp;</strong>Before applying to the university, you need to first apply to receive your&nbsp;<a href=""https://www.uni-assist.de/en/how-to-apply/plan-your-application/vpd/"">VPD</a>&nbsp;via uni-assist. You can do so throughout the year, but&nbsp;<strong>it takes at least six weeks to receive your VPD from uni-assist</strong>. So in order to meet the university application deadlines, you will need to apply for your VPD as early as possible.</p>",False,,,,['Welcome event | Buddy programme | Cultural and linguistic preparation'],[],/deutschland/studienangebote/international-programmes/en/detail/8362/
